,Unnamed: 0,Unnamed: 0.1,Participant,Day,Mood,Valence,Arousal,Activity,Screen,Calls,SMS,Entertainment,Finance,Communication,Games,Office,Social,Travel,Utilities,Weather,Target,Mood (t-1),Mood (t-2),Mood (t-3),Mood (t-4),Mood (t-5),Mood (t-6),Mood (t-10),Mood (t-28),Valence (t-1),Valence (t-2),Valence (t-3),Arousal (t-1),Arousal (t-2),Arousal (t-3),Activity (t-1),Activity (t-2),Activity (t-3),Screen (t-1),Screen (t-2),Screen (t-3)
10,10,10,1.0,31.0,8.0,1.0,0.2,0.06820281010186964,8322.6219997406,4.0,1.0,1627.429,0.0,2720.692,0.0,0.0,472.88800000000003,52.435,600.6370000000003,0.0,7.5,6.4,7.0,6.6,6.75,6.0,6.8,0.0,0.0,0.6,0.8,0.6,-0.6,0.2,-0.2,0.09569802163712014,0.15951064096909748,0.10130832167007592,4923.488999605182,17442.149999380108,16423.801000356674
11,11,11,1.0,32.0,7.5,0.75,-0.5,0.049092970521542004,4523.214000940327,0.0,0.0,1535.6770000000001,0.0,1298.505,0.0,0.0,167.685,0.0,38.296,0.0,7.4,8.0,6.4,7.0,6.6,6.75,6.0,0.0,0.0,1.0,0.6,0.8,0.2,-0.6,0.2,0.06820281010186964,0.09569802163712014,0.15951064096909748,8322.6219997406,4923.488999605182,17442.149999380108
12,12,12,1.0,33.0,7.4,0.6,0.0,0.07050548088338955,11836.834000349041,6.0,0.0,1758.9200000000005,41.255,5332.6370000000015,51.176,0.0,1350.655,183.38100000000003,210.305,0.0,6.0,7.5,8.0,6.4,7.0,6.6,6.75,6.2,0.0,0.75,1.0,0.6,-0.5,0.2,-0.6,0.049092970521542004,0.06820281010186964,0.09569802163712014,4523.214000940327,8322.6219997406,4923.488999605182
13,13,13,1.0,34.0,6.0,0.0,0.2,0.11844324271273605,17173.906002044678,1.0,0.0,1030.637,547.8259999999998,6095.526,234.741,92.388,5040.067000000002,1614.621,517.636,0.0,6.5,7.4,7.5,8.0,6.4,7.0,6.6,6.4,0.0,0.6,0.75,1.0,0.0,-0.5,0.2,0.07050548088338955,0.049092970521542004,0.06820281010186964,11836.834000349041,4523.214000940327,8322.6219997406
14,14,14,1.0,35.0,6.5,0.6666666666666666,0.3333333333333333,0.10191661063822348,21358.510999917988,4.0,0.0,1343.3759999999995,247.77700000000002,6920.155999999999,0.0,90.481,3428.792,0.0,341.371,0.0,6.4,6.0,7.4,7.5,8.0,6.4,7.0,6.8,0.0,0.0,0.6,0.75,0.2,0.0,-0.5,0.11844324271273605,0.07050548088338955,0.049092970521542004,17173.906002044678,11836.834000349041,4523.214000940327
15,15,15,1.0,36.0,6.4,0.0,-1.2,0.04923847270844107,21401.835000753403,4.0,0.0,1293.631,76.234,14438.082,0.0,0.0,3154.241,19.082,182.77200000000002,0.0,6.2,6.5,6.0,7.4,7.5,8.0,6.4,6.0,0.0,0.6666666666666666,0.0,0.6,0.3333333333333333,0.2,0.0,0.10191661063822348,0.11844324271273605,0.07050548088338955,21358.510999917988,17173.906002044678,11836.834000349041
16,16,16,1.0,37.0,6.2,0.4,0.2,0.12668931120732582,12379.411000013357,2.0,1.0,1545.227,0.0,5481.6280000000015,0.0,0.0,2086.197,158.241,128.692,0.0,6.8,6.4,6.5,6.0,7.4,7.5,8.0,6.75,0.0,0.0,0.6666666666666666,0.0,-1.2,0.3333333333333333,0.2,0.04923847270844107,0.10191661063822348,0.11844324271273605,21401.835000753403,21358.510999917988,17173.906002044678
17,17,17,1.0,38.0,6.8,0.6,-0.4,0.1190023022034455,3340.4309999942784,0.0,0.0,76.369,0.0,1885.409,0.0,0.0,363.208,187.945,118.956,0.0,6.5,6.2,6.4,6.5,6.0,7.4,7.5,6.6,0.0,0.4,0.0,0.6666666666666666,0.2,-1.2,0.3333333333333333,0.12668931120732582,0.04923847270844107,0.10191661063822348,12379.411000013357,21401.835000753403,21358.510999917988
18,18,18,1.0,39.0,6.5,0.5,-0.75,0.06440779944246815,7467.3219997882825,4.0,0.0,187.21400000000003,0.0,3355.743,114.406,0.0,321.46,0.0,46.248999999999995,0.0,6.5,6.8,6.2,6.4,6.5,6.0,7.4,7.0,0.0,0.6,0.4,0.0,-0.4,0.2,-1.2,0.1190023022034455,0.12668931120732582,0.04923847270844107,3340.4309999942784,12379.411000013357,21401.835000753403
19,19,19,1.0,40.0,6.5,0.25,-0.6666666666666666,0.050670621174317886,9846.38099980354,1.0,0.0,447.121,46.128,7355.014999999998,0.0,17.107,1475.418,60.247,205.81100000000004,0.0,6.6,6.5,6.8,6.2,6.4,6.5,6.0,6.4,0.0,0.5,0.6,0.4,-0.75,-0.4,0.2,0.06440779944246815,0.1190023022034455,0.12668931120732582,7467.3219997882825,3340.4309999942784,12379.411000013357
20,20,20,1.0,41.0,6.6,0.3333333333333333,-0.4,0.07532705826134849,15101.132001876831,1.0,0.0,3466.479000000001,19.131,9477.553,0.0,0.0,2655.121,0.0,36.143,0.0,7.4,6.5,6.5,6.8,6.2,6.4,6.5,8.0,0.0,0.25,0.5,0.6,-0.6666666666666666,-0.75,-0.4,0.050670621174317886,0.06440779944246815,0.1190023022034455,9846.38099980354,7467.3219997882825,3340.4309999942784
21,21,21,1.0,42.0,7.4,1.0,-0.8,0.12038411453232878,13558.28900098801,4.0,0.0,940.77,0.0,6177.076,0.0,0.0,2826.35,0.0,577.3590000000003,0.0,7.4,6.6,6.5,6.5,6.8,6.2,6.4,7.5,0.0,0.3333333333333333,0.25,0.5,-0.4,-0.6666666666666666,-0.75,0.07532705826134849,0.050670621174317886,0.06440779944246815,15101.132001876831,9846.38099980354,7467.3219997882825
22,22,22,1.0,43.0,7.4,0.8,-0.4,0.07896310519489108,9296.09899926186,7.0,0.0,1858.8930000000007,0.0,4881.411,1.0590000000000002,23.195,1174.717,0.0,377.687,0.0,7.0,7.4,6.6,6.5,6.5,6.8,6.2,7.4,0.0,1.0,0.3333333333333333,0.25,-0.8,-0.4,-0.6666666666666666,0.12038411453232878,0.07532705826134849,0.050670621174317886,13558.28900098801,15101.132001876831,9846.38099980354
23,23,23,1.0,44.0,7.0,0.8,-1.2,0.07998620207306051,10526.846000194551,0.0,0.0,1976.138,94.093,3336.592000000001,0.0,0.0,596.807,34.234,214.648,0.0,7.25,7.4,7.4,6.6,6.5,6.5,6.8,6.0,0.0,0.8,1.0,0.3333333333333333,-0.4,-0.8,-0.4,0.07896310519489108,0.12038411453232878,0.07532705826134849,9296.09899926186,13558.28900098801,15101.132001876831
24,24,24,1.0,45.0,7.25,0.75,-0.75,0.07224906147031816,11750.809000968933,0.0,0.0,2186.4819999999995,0.0,6595.083000000001,0.0,0.0,264.432,5.0310000000000015,352.392,0.0,8.0,7.0,7.4,7.4,6.6,6.5,6.5,6.5,0.0,0.8,0.8,1.0,-1.2,-0.4,-0.8,0.07998620207306051,0.07896310519489108,0.12038411453232878,10526.846000194551,9296.09899926186,13558.28900098801
25,25,25,1.0,46.0,8.0,1.0,-1.25,0.014021328954370723,2005.7509992122657,0.0,0.0,249.392,82.413,1096.7949999999996,0.0,0.0,34.501999999999995,0.0,0.0,0.0,7.2,7.25,7.0,7.4,7.4,6.6,6.5,6.4,0.0,0.75,0.8,0.8,-0.75,-1.2,-0.4,0.07224906147031816,0.07998620207306051,0.07896310519489108,11750.809000968933,10526.846000194551,9296.09899926186
26,26,26,1.0,47.0,7.2,0.6,-1.2,0.08388731446988418,17985.44799923897,1.0,1.0,6265.556000000001,89.32300000000002,6486.284000000002,0.0,0.0,2921.985,29.104,986.014,0.0,6.4,8.0,7.25,7.0,7.4,7.4,6.6,6.2,0.0,1.0,0.75,0.8,-1.25,-0.75,-1.2,0.014021328954370723,0.07224906147031816,0.07998620207306051,2005.7509992122657,11750.809000968933,10526.846000194551
27,27,27,1.0,48.0,6.4,0.8,0.0,0.09011215278072526,13585.222998380666,8.0,1.0,944.5219999999999,13.043,6224.231,0.0,0.0,4428.210000000001,8.363,279.79299999999995,0.0,7.2,7.2,8.0,7.25,7.0,7.4,7.4,6.8,0.0,0.6,1.0,0.75,-1.2,-1.25,-0.75,0.08388731446988418,0.014021328954370723,0.07224906147031816,17985.44799923897,2005.7509992122657,11750.809000968933
28,28,28,1.0,49.0,7.2,0.5,0.75,0.11611033612712222,12522.474998950956,0.0,1.0,426.734,0.0,5175.016000000001,0.0,0.0,1912.852,0.0,223.58700000000002,0.0,6.6,6.4,7.2,8.0,7.25,7.0,7.4,6.5,0.0,0.8,0.6,1.0,0.0,-1.2,-1.25,0.09011215278072526,0.08388731446988418,0.014021328954370723,13585.222998380666,17985.44799923897,2005.7509992122657
29,29,29,1.0,50.0,6.6,0.6,-0.4,0.056917856672096825,15018.480000734338,2.0,0.0,142.241,0.0,11853.339,0.0,0.0,2107.146,0.0,49.718,0.0,6.8,7.2,6.4,7.2,8.0,7.25,7.0,6.5,0.0,0.5,0.8,0.6,0.75,0.0,-1.2,0.11611033612712222,0.09011215278072526,0.08388731446988418,12522.474998950956,13585.222998380666,17985.44799923897
30,30,30,1.0,51.0,6.8,0.8,-0.8,0.09403300669497608,13490.728999614706,1.0,0.0,774.3540000000003,119.163,5341.656999999998,0.0,0.0,1993.9220000000007,63.873999999999995,88.68,0.0,7.8,6.6,7.2,6.4,7.2,8.0,7.25,6.6,6.2,0.6,0.5,0.8,-0.4,0.75,0.0,0.056917856672096825,0.11611033612712222,0.09011215278072526,15018.480000734338,12522.474998950956,13585.222998380666
31,31,31,1.0,52.0,7.8,1.0,-0.2,0.09943191172384026,13293.2480006218,1.0,0.0,469.274,95.629,2728.26,29.084,0.0,396.67199999999997,128.89,305.796,0.0,7.25,6.8,6.6,7.2,6.4,7.2,8.0,7.4,6.4,0.8,0.6,0.5,-0.8,-0.4,0.75,0.09403300669497608,0.056917856672096825,0.11611033612712222,13490.728999614706,15018.480000734338,12522.474998950956
32,32,32,1.0,53.0,7.25,0.75,-0.25,0.07481624304311597,8343.518000364305,2.0,2.0,727.492,10.606000000000002,4984.724000000001,0.0,0.0,2237.742,0.0,121.035,0.0,7.6,7.8,6.8,6.6,7.2,6.4,7.2,7.4,6.8,1.0,0.8,0.6,-0.2,-0.8,-0.4,0.09943191172384026,0.09403300669497608,0.056917856672096825,13293.2480006218,13490.728999614706,15018.480000734338
33,33,33,1.0,54.0,7.6,1.0,-0.25,0.10204105896824718,3832.9909992218018,2.0,0.0,74.88000000000002,33.266,2004.3470000000002,0.0,0.0,428.972,68.278,210.882,0.0,7.4,7.25,7.8,6.8,6.6,7.2,6.4,7.0,6.0,0.75,1.0,0.8,-0.25,-0.2,-0.8,0.07481624304311597,0.09943191172384026,0.09403300669497608,8343.518000364305,13293.2480006218,13490.728999614706
34,34,34,1.0,55.0,7.4,1.0,0.2,0.09192955182229204,15490.269999265669,2.0,0.0,1101.017,38.453,11360.913,0.0,0.0,1422.5479999999998,0.0,423.215,0.0,7.6,7.6,7.25,7.8,6.8,6.6,7.2,7.25,6.75,1.0,0.75,1.0,-0.25,-0.25,-0.2,0.10204105896824718,0.07481624304311597,0.09943191172384026,3832.9909992218018,8343.518000364305,13293.2480006218
35,35,35,1.0,56.0,7.6,1.0,0.2,0.04598568913376553,14535.339999437332,1.0,0.0,347.427,18.051,8928.472000000002,0.0,0.0,526.5980000000002,0.0,246.944,0.0,7.6,7.4,7.6,7.25,7.8,6.8,6.6,8.0,6.6,1.0,1.0,0.75,0.2,-0.25,-0.25,0.09192955182229204,0.10204105896824718,0.07481624304311597,15490.269999265669,3832.9909992218018,8343.518000364305
36,36,36,1.0,57.0,7.6,1.0,-0.4,0.0509029881940343,22086.478000164043,1.0,0.0,4464.975,209.937,9692.133000000002,0.0,0.0,2688.5360000000005,51.184,716.1970000000001,0.0,7.2,7.6,7.4,7.6,7.25,7.8,6.8,7.2,7.0,1.0,1.0,1.0,0.2,0.2,-0.25,0.04598568913376553,0.09192955182229204,0.10204105896824718,14535.339999437332,15490.269999265669,3832.9909992218018
37,37,37,1.0,58.0,7.2,0.8,-0.2,0.10906106363682748,13973.941999673845,2.0,1.0,650.832,21.070999999999998,7279.144,0.0,0.0,2227.694,63.31600000000001,347.97400000000016,0.0,7.6,7.6,7.6,7.4,7.6,7.25,7.8,6.4,6.4,1.0,1.0,1.0,-0.4,0.2,0.2,0.0509029881940343,0.04598568913376553,0.09192955182229204,22086.478000164043,14535.339999437332,15490.269999265669
38,38,38,1.0,59.0,7.6,1.0,-0.2,0.21424877162423492,15482.018999338146,3.0,4.0,125.556,27.267,2567.857,0.0,0.0,2368.377,470.773,315.7629999999998,0.0,7.5,7.2,7.6,7.6,7.4,7.6,7.25,7.2,8.0,0.8,1.0,1.0,-0.2,-0.4,0.2,0.10906106363682748,0.0509029881940343,0.04598568913376553,13973.941999673845,22086.478000164043,14535.339999437332
39,39,39,1.0,60.0,7.5,1.0,0.0,0.030478923798963695,5700.562000036241,0.0,0.0,1510.221,0.0,2431.498,0.0,0.0,27.47,0.0,60.338,0.0,7.6,7.6,7.2,7.6,7.6,7.4,7.6,6.6,7.5,1.0,0.8,1.0,-0.2,-0.2,-0.4,0.21424877162423492,0.10906106363682748,0.0509029881940343,15482.018999338146,13973.941999673845,22086.478000164043
40,40,40,1.0,61.0,7.6,0.8,-0.8,0.0196753225383989,10807.829999685284,2.0,0.0,1548.4379999999999,465.25300000000016,4697.372,0.0,0.0,2423.9329999999995,0.0,380.19300000000015,0.0,7.0,7.5,7.6,7.2,7.6,7.6,7.4,6.8,7.4,1.0,1.0,0.8,0.0,-0.2,-0.2,0.030478923798963695,0.21424877162423492,0.10906106363682748,5700.562000036241,15482.018999338146,13973.941999673845
41,41,41,1.0,62.0,7.0,1.0,-0.25,0.10275824852950448,7873.291999101641,0.0,0.0,1562.533,0.0,3834.645,333.305,0.0,411.485,41.982,410.436,0.0,7.8,7.6,7.5,7.6,7.2,7.6,7.6,7.8,6.0,0.8,1.0,1.0,-0.8,0.0,-0.2,0.0196753225383989,0.030478923798963695,0.21424877162423492,10807.829999685284,5700.562000036241,15482.018999338146
42,42,42,1.0,63.0,7.8,0.75,-0.4,0.15105145904074724,9175.604999065401,1.0,0.0,504.862,375.02200000000005,3550.6180000000004,0.0,0.0,89.166,272.79800000000006,112.295,0.0,8.0,7.0,7.6,7.5,7.6,7.2,7.6,7.25,6.5,1.0,0.8,1.0,-0.25,-0.8,0.0,0.10275824852950448,0.0196753225383989,0.030478923798963695,7873.291999101641,10807.829999685284,5700.562000036241
43,43,43,1.0,64.0,8.0,1.0,-0.4,0.03706526814765704,15516.951998472214,7.0,4.0,470.866,1321.104,8191.41,0.0,28.09800000000001,4918.942,0.0,269.569,0.0,7.6,7.8,7.0,7.6,7.5,7.6,7.2,7.6,6.4,0.75,1.0,0.8,-0.4,-0.25,-0.8,0.15105145904074724,0.10275824852950448,0.0196753225383989,9175.604999065401,7873.291999101641,10807.829999685284
44,44,44,1.0,65.0,7.6,1.0,-0.2,0.07734101929677567,15088.51900076866,0.0,0.0,352.88800000000015,1069.748,7925.9180000000015,0.0,0.0,771.2660000000002,0.0,11.083,0.0,8.0,8.0,7.8,7.0,7.6,7.5,7.6,7.4,6.2,1.0,0.75,1.0,-0.4,-0.4,-0.25,0.03706526814765704,0.15105145904074724,0.10275824852950448,15516.951998472214,9175.604999065401,7873.291999101641
45,45,45,1.0,66.0,8.0,1.0,-0.2,0.07174088489517205,8186.0360007286035,0.0,1.0,2761.950000000001,296.313,4539.775999999999,0.0,0.0,205.602,143.631,125.60500000000002,0.0,8.0,7.6,8.0,7.8,7.0,7.6,7.5,7.6,6.8,1.0,1.0,0.75,-0.2,-0.4,-0.4,0.07734101929677567,0.03706526814765704,0.15105145904074724,15088.51900076866,15516.951998472214,9175.604999065401
46,46,46,1.0,67.0,8.0,1.0,-0.5,0.1361918083770384,5889.194999456404,0.0,0.0,928.4060000000001,0.0,3381.689000000001,0.0,0.0,494.67700000000013,0.0,0.0,0.0,0.0,8.0,7.6,8.0,7.8,7.0,7.6,7.6,6.5,1.0,1.0,1.0,-0.2,-0.2,-0.4,0.07174088489517205,0.07734101929677567,0.03706526814765704,8186.0360007286035,15088.51900076866,15516.951998472214
47,72,72,2.0,0.0,6.333333333333332,0.0,0.0,,4902.626999616626,4.0,1.0,88.39200000000002,0.0,3151.829,0.0,0.0,181.591,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,73,73,2.0,1.0,6.75,0.5,0.5,0.16806841495032573,10159.769001245495,4.0,0.0,2511.178,0.0,4518.116,0.0,0.0,103.02799999999999,0.0,0.0,0.0,8.2,6.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4902.626999616626,0.0,0.0
49,74,74,2.0,2.0,8.2,0.8,0.6,0.2194843842554376,4512.471001386642,15.0,1.0,88.943,0.0,3933.081,0.0,0.0,212.364,0.0,0.0,0.0,6.8,6.75,6.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.16806841495032573,,0.0,10159.769001245495,4902.626999616626,0.0
50,75,75,2.0,3.0,6.8,0.4,0.4,0.31563175685064315,8182.7570002079065,5.0,1.0,196.139,0.0,2596.989,0.0,0.0,47.815,567.165,0.0,0.0,7.25,8.2,6.75,6.333333333333332,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.0,0.6,0.5,0.0,0.2194843842554376,0.16806841495032573,,4512.471001386642,10159.769001245495,4902.626999616626
51,76,76,2.0,4.0,7.25,0.75,-0.5,0.23902496021034736,4360.334001302721,10.0,1.0,148.18000000000004,0.0,2154.371,0.0,0.0,131.59799999999998,0.0,0.0,0.0,7.5,6.8,8.2,6.75,6.333333333333332,0.0,0.0,0.0,0.0,0.4,0.8,0.5,0.4,0.6,0.5,0.31563175685064315,0.2194843842554376,0.16806841495032573,8182.7570002079065,4512.471001386642,10159.769001245495
52,77,77,2.0,5.0,7.5,0.75,-0.75,0.2896279249001075,11155.850999116894,10.0,1.0,459.604,0.0,2858.4460000000013,0.0,0.0,388.02099999999996,442.29600000000005,0.0,0.0,6.5,7.25,6.8,8.2,6.75,6.333333333333332,0.0,0.0,0.0,0.75,0.4,0.8,-0.5,0.4,0.6,0.23902496021034736,0.31563175685064315,0.2194843842554376,4360.334001302721,8182.7570002079065,4512.471001386642
53,78,78,2.0,6.0,6.5,-0.5,-1.0,0.44604368683290135,7589.562002897264,25.0,1.0,662.9110000000003,0.0,1852.256,0.0,0.0,408.667,780.617,0.0,0.0,6.25,7.5,7.25,6.8,8.2,6.75,6.333333333333332,0.0,0.0,0.75,0.75,0.4,-0.75,-0.5,0.4,0.2896279249001075,0.23902496021034736,0.31563175685064315,11155.850999116894,4360.334001302721,8182.7570002079065
54,79,79,2.0,7.0,6.25,0.0,-1.0,0.2696971570335324,4528.527000665666,8.0,1.0,388.098,0.0,1839.899,0.0,0.0,171.99400000000003,1263.1889999999996,0.0,0.0,6.4,6.5,7.5,7.25,6.8,8.2,6.75,0.0,0.0,-0.5,0.75,0.75,-1.0,-0.75,-0.5,0.44604368683290135,0.2896279249001075,0.23902496021034736,7589.562002897264,11155.850999116894,4360.334001302721
55,80,80,2.0,8.0,6.4,-0.2,0.2,0.15612466250149995,2766.6489994525905,5.0,0.0,532.013,0.0,3012.1810000000014,0.0,0.0,232.801,0.0,0.0,0.0,7.75,6.25,6.5,7.5,7.25,6.8,8.2,0.0,0.0,0.0,-0.5,0.75,-1.0,-1.0,-0.75,0.2696971570335324,0.44604368683290135,0.2896279249001075,4528.527000665666,7589.562002897264,11155.850999116894
56,81,81,2.0,9.0,7.75,0.75,-1.25,0.2305136548564537,4637.388000011446,7.0,0.0,459.589,0.0,2788.7509999999997,0.0,0.0,148.447,0.0,0.0,0.0,7.2,6.4,6.25,6.5,7.5,7.25,6.8,0.0,0.0,-0.2,0.0,-0.5,0.2,-1.0,-1.0,0.15612466250149995,0.2696971570335324,0.44604368683290135,2766.6489994525905,4528.527000665666,7589.562002897264
57,82,82,2.0,10.0,7.2,0.4,-1.2,0.2939534624058421,6069.630000829695,5.0,0.0,767.145,0.0,2533.849,0.0,0.0,1562.023,0.0,0.0,0.0,7.25,7.75,6.4,6.25,6.5,7.5,7.25,6.333333333333332,0.0,0.75,-0.2,0.0,-1.25,0.2,-1.0,0.2305136548564537,0.15612466250149995,0.2696971570335324,4637.388000011446,2766.6489994525905,4528.527000665666
58,83,83,2.0,11.0,7.25,0.5,0.0,0.228849008922151,5746.9809987544995,3.0,0.0,490.78100000000006,0.0,2997.043,0.0,0.0,81.366,0.0,67.16300000000001,0.0,6.8,7.2,7.75,6.4,6.25,6.5,7.5,6.75,0.0,0.4,0.75,-0.2,-1.2,-1.25,0.2,0.2939534624058421,0.2305136548564537,0.15612466250149995,6069.630000829695,4637.388000011446,2766.6489994525905
59,84,84,2.0,12.0,6.8,0.6,-0.6,0.26159832807813954,3969.580999135973,8.0,2.0,707.6400000000001,0.0,1245.127,0.0,0.0,2717.215,0.0,0.0,0.0,7.25,7.25,7.2,7.75,6.4,6.25,6.5,8.2,0.0,0.5,0.4,0.75,0.0,-1.2,-1.25,0.228849008922151,0.2939534624058421,0.2305136548564537,5746.9809987544995,6069.630000829695,4637.388000011446
60,85,85,2.0,13.0,7.25,0.25,-0.75,0.432469355060395,4403.2429976463345,4.0,0.0,1063.268,0.0,2141.489,0.0,0.0,523.8539999999998,501.64400000000006,0.0,0.0,7.0,6.8,7.25,7.2,7.75,6.4,6.25,6.8,0.0,0.6,0.5,0.4,-0.6,0.0,-1.2,0.26159832807813954,0.228849008922151,0.2939534624058421,3969.580999135973,5746.9809987544995,6069.630000829695
61,86,86,2.0,14.0,7.0,0.75,-1.0,0.24188730879396786,3937.041998863219,10.0,1.0,1278.594,0.0,1110.856,0.0,0.0,322.901,0.0,0.0,0.0,7.2,7.25,6.8,7.25,7.2,7.75,6.4,7.25,0.0,0.25,0.6,0.5,-0.75,-0.6,0.0,0.432469355060395,0.26159832807813954,0.228849008922151,4403.2429976463345,3969.580999135973,5746.9809987544995
62,87,87,2.0,15.0,7.2,0.4,-0.8,0.15637292366427655,4774.145999193192,14.0,2.0,354.96500000000015,0.0,2481.322,0.0,0.0,2038.631,0.0,0.0,0.0,7.4,7.0,7.25,6.8,7.25,7.2,7.75,7.5,0.0,0.75,0.25,0.6,-1.0,-0.75,-0.6,0.24188730879396786,0.432469355060395,0.26159832807813954,3937.041998863219,4403.2429976463345,3969.580999135973
63,88,88,2.0,16.0,7.4,0.8,-0.2,0.2619605321890544,3297.7379970550537,2.0,1.0,76.976,0.0,1322.61,0.0,0.0,191.12099999999998,345.20000000000016,0.0,0.0,6.4,7.2,7.0,7.25,6.8,7.25,7.2,6.5,0.0,0.4,0.75,0.25,-0.8,-1.0,-0.75,0.15637292366427655,0.24188730879396786,0.432469355060395,4774.145999193192,3937.041998863219,4403.2429976463345
